dgp,N,method,target,target_group,true_value_mean,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,mean_interval_length,point_retained,inference_retained,attempted,extreme_finite_estimate_count
3,50,fixed_rank,A_G2_minus_G1_fixed_time,local_plugin,0.008623068422707105,0.006470213287305672,-0.0021528551354014326,0.020410677900458758,0.030983791155951373,0.018441407490769224,1.0,0.07228898901226971,3,3,3,0
3,50,fixed_rank,A_G2_minus_G1_time_average,broad,0.009693661117827983,-0.030393384410818906,-0.0400870455286469,0.043967621046853304,0.027589491671696085,0.04117058748827019,1.0,0.16138573739872988,3,3,3,0
3,50,fixed_rank,A_G2_time_average,broad,0.502871829364573,0.43528246174432583,-0.06758936762024716,0.07189272428463708,0.03643258848925854,0.035411392466945815,0.3333333333333333,0.13881010775525357,3,3,3,0
3,50,fixed_rank,A_entry,local_plugin,0.4644812402709125,0.42350734549545793,-0.040973894775454545,0.09096726878566594,0.2036619427402263,0.14605635113808704,1.0,0.5725303758879727,3,3,3,0
3,50,fixed_rank,A_fixed_time_mean,local_plugin,0.4530578753784782,0.328083396065945,-0.1249744793125332,0.1311772498463081,0.12719789940973286,0.11384841638838943,0.6666666666666666,0.4462775916363258,3,3,3,0
3,50,fixed_rank,A_full_mean,broad,0.4980249988056589,0.4504791539497354,-0.04754584485592354,0.05194446844097136,0.024654198395084297,0.02889295729462661,0.6666666666666666,0.113258311408644,3,3,3,0
3,50,fixed_rank,B_G1_fixed_time,local_plugin,0.5635421979311213,0.7647909075168154,0.20124870958569419,0.35033780398828707,0.1656124666649774,0.2944529926214881,1.0,1.1542345213563099,3,3,3,1
3,50,fixed_rank,B_G1_time_average,broad,0.6166490357475813,0.7287563110602907,0.11210727531270948,0.11724157109094313,0.06663699324798081,0.09649413545304869,1.0,0.37825006041461,3,3,3,0
3,50,fixed_rank,B_G2_fixed_time,local_plugin,0.5233853026742765,0.7600836050414509,0.23669830236717437,0.40155025904089037,0.24973370693174007,0.2812128394355397,1.0,1.1023340745678059,3,3,3,0
3,50,fixed_rank,B_G2_minus_G1_fixed_time,local_plugin,-0.04015689525684477,-0.004707302475364532,0.035449592781480244,0.06844686301230271,0.09203581451701759,0.08977244897952169,1.0,0.3519015336076441,3,3,3,0
