dgp,N,method,target,attempted,target_support_rate,gram_min_eigenvalue_min,gram_max_eigenvalue_max,condition_number_max,riesz_residual_max,riesz_convergence_rate,target_rayleigh_min,invalid_variance_count,nonfinite_SE_count
3,50,fixed_rank,A_G1_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.758990262224576e-09,1.0,1.269464114194925,0,0
3,50,fixed_rank,A_G2_fixed_time,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,7.49356865792364e-09,1.0,1.5205444765470322,0,0
3,50,fixed_rank,A_G2_minus_G1_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,7.593101098147133e-09,1.0,3.1405441062811508,0,0
3,50,fixed_rank,A_G2_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,8.943840360038623e-09,1.0,0.9862521115239002,0,0
3,50,fixed_rank,A_entry,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,8.726209428890246e-09,1.0,2.243202425337363,0,0
3,50,fixed_rank,A_fixed_time_mean,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,6.091850394364728e-09,1.0,1.5331894052040287,0,0
3,50,fixed_rank,A_full_mean,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,8.765425332086287e-09,1.0,0.7992459312065608,0,0
3,50,fixed_rank,B_G1_fixed_time,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.955604012641202e-09,1.0,0.7650321526080497,0,0
3,50,fixed_rank,B_G1_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.879786516158693e-09,1.0,0.744664473526039,0,0
3,50,fixed_rank,B_G2_fixed_time,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.672249487076563e-09,1.0,0.7615709247849782,0,0
3,50,fixed_rank,B_G2_minus_G1_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,6.64970809970076e-09,1.0,0.7996295101933973,0,0
3,50,fixed_rank,B_G2_time_average,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.245889360615319e-09,1.0,0.6731144517256705,0,0
3,50,fixed_rank,B_entry,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.375894960173712e-09,1.0,0.9330738875822182,0,0
3,50,fixed_rank,B_fixed_time_mean,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,8.773596712942154e-09,1.0,0.761467924848015,0,0
3,50,fixed_rank,B_full_mean,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,9.479141029097165e-09,1.0,0.6549164600518784,0,0
3,50,selected_rank,A_G1_fixed_time,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_G1_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_G2_fixed_time,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_G2_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_entry,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_fixed_time_mean,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,A_full_mean,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_G1_fixed_time,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_G1_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_G2_fixed_time,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_G2_time_average,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_entry,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_fixed_time_mean,3,0.0,,,,,0.0,,3,3
3,50,selected_rank,B_full_mean,3,0.0,,,,,0.0,,3,3
3,100,fixed_rank,A_G1_fixed_time,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,8.52700436452725e-09,1.0,1.3390426202464663,0,0
3,100,fixed_rank,A_G1_time_average,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.0716388486795e-09,1.0,1.0802351649196305,0,0
3,100,fixed_rank,A_G2_fixed_time,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.415380225893725e-09,1.0,1.34599886479423,0,0
3,100,fixed_rank,A_G2_minus_G1_time_average,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.714448545331502e-09,1.0,2.442163287915292,0,0
3,100,fixed_rank,A_G2_time_average,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,8.476792243561439e-09,1.0,1.0249257971532677,0,0
3,100,fixed_rank,A_entry,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,7.805588629426236e-09,1.0,1.9267202608868639,0,0
3,100,fixed_rank,A_fixed_time_mean,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.445617336937793e-09,1.0,1.3348873369740046,0,0
3,100,fixed_rank,A_full_mean,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,8.879630803272344e-09,1.0,0.7788516078537336,0,0
3,100,fixed_rank,B_G1_fixed_time,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.905310028059132e-09,1.0,0.9567897595764028,0,0
3,100,fixed_rank,B_G1_time_average,3,1.0,0.16983639179879514,46.288400339067394,272.5470074394019,9.953461807281596e-09,1.0,0.6838429248863298,0,0
