dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
1,100,selected_rank,A_full_mean,0.49148579885700977,0.0,-0.49148579885700977,0.49150505528959487,0.0,,,,3,0,3
1,100,selected_rank,B_G1_fixed_time,0.703168611368289,0.0,-0.703168611368289,0.7243654330458161,0.0,,,,3,0,3
1,100,selected_rank,B_G1_time_average,0.6206530587275364,0.0,-0.6206530587275364,0.6226993486668113,0.0,,,,3,0,3
1,100,selected_rank,B_G2_fixed_time,0.6573165301967402,0.0,-0.6573165301967402,0.6688566000256921,0.0,,,,3,0,3
1,100,selected_rank,B_G2_minus_G1_fixed_time,-0.0458520811715488,0.0,0.0458520811715488,0.06951632774186503,0.0,,,,3,0,3
1,100,selected_rank,B_G2_minus_G1_time_average,-0.033762004742878285,0.0,0.033762004742878285,0.05456392373293044,0.0,,,,3,0,3
1,100,selected_rank,B_G2_time_average,0.586891053984658,0.0,-0.586891053984658,0.5869629570403764,0.0,,,,3,0,3
1,100,selected_rank,B_entry,0.6199025869662281,0.0,-0.6199025869662281,0.6559453991369484,0.0,,,,3,0,3
1,100,selected_rank,B_fixed_time_mean,0.6802425707825145,0.0,-0.6802425707825145,0.6962966939739927,0.0,,,,3,0,3
1,100,selected_rank,B_full_mean,0.6037720563560972,0.0,-0.6037720563560972,0.6044796857137082,0.0,,,,3,0,3
2,50,fixed_rank,A_G1_fixed_time,0.4215845011736879,0.33486001338845406,-0.0867244877852339,0.19966279064097334,0.18100913699205437,0.10870660743542125,1.0,0.4261220709099194,3,3,3
2,50,fixed_rank,A_G1_time_average,0.4874242579657268,0.5126591807171419,0.025234922751415107,0.034730023318035215,0.03660587652021776,,,,3,0,3
2,50,fixed_rank,A_G2_fixed_time,0.43121825647165135,0.3347030752768059,-0.09651518119484542,0.2230018210830626,0.19912684372791709,0.10565308975834643,0.0,0.41415250156347333,3,3,3
2,50,fixed_rank,A_G2_minus_G1_fixed_time,0.00963375529796343,-0.00015693811164815483,-0.009790693409611586,0.023468900517070113,0.022188580461825907,0.017983483335260442,0.6666666666666666,0.07049395930737343,3,3,3
2,50,fixed_rank,A_G2_minus_G1_time_average,0.012014773188648256,-0.035124529254714466,-0.04713930244336273,0.05974138667262249,0.03931399663080855,,,,3,0,3
2,50,fixed_rank,A_G2_time_average,0.49943903115437505,0.4775346514624272,-0.021904379691947844,0.025553250469214722,0.029079936791622477,,,,3,0,3
2,50,fixed_rank,A_entry,0.39890992095695926,0.2669722868823725,-0.13193763407458672,0.18103313837071813,0.06777868246377253,0.11827208051090611,1.0,0.4636180363559952,3,3,3
2,50,fixed_rank,A_fixed_time_mean,0.42640137882266965,0.3347815443326299,-0.09161983449003967,0.21132871022078775,0.1899600497686226,0.10675547568099421,0.6666666666666666,0.41847377497438054,3,3,3
2,50,fixed_rank,A_full_mean,0.493431644560051,0.4950969160897843,0.001665271529733355,0.006108456778507201,0.026578541664983885,,,,3,0,3
2,50,fixed_rank,B_G1_fixed_time,0.4986666308630358,0.4991515089264616,0.00048487806342578654,0.1266353608722949,0.1767931037224317,0.18242930875499622,1.0,0.7151097497686604,3,3,3
2,50,fixed_rank,B_G1_time_average,0.6245860128483901,0.6736927811766756,0.04910676832828542,0.06130832891808208,0.041045704248119194,,,,3,0,3
2,50,fixed_rank,B_G2_fixed_time,0.4908966087700697,0.4902098496293478,-0.0006867591407218784,0.16282518215461192,0.18022769099141622,0.17642833502739022,1.0,0.6915863650121027,3,3,3
2,50,fixed_rank,B_G2_minus_G1_fixed_time,-0.007770022092966137,-0.008941659297113852,-0.0011716372041477158,0.06908874402582757,0.14772842855167842,0.0594232105411635,1.0,0.23293470501284272,3,3,3
2,50,fixed_rank,B_G2_minus_G1_time_average,-0.0057118839821901635,-0.05567789970941881,-0.04996601572722864,0.06342407012893865,0.12680150670829735,,,,3,0,3
2,50,fixed_rank,B_G2_time_average,0.6188741288662,0.6180148814672567,-0.0008592473989431822,0.0689633489700707,0.13788570700517502,,,,3,0,3
2,50,fixed_rank,B_entry,0.35719750888381524,0.42128550863558956,0.06408799975177433,0.20994519257839447,0.18724994408198875,0.24004478361061168,1.0,0.9409582611070192,3,3,3
2,50,fixed_rank,B_fixed_time_mean,0.4947816198165527,0.49468067927790466,-0.0001009405386480459,0.14170731683897933,0.16252073378915954,0.1780991776952162,1.0,0.698135947917646,3,3,3
2,50,fixed_rank,B_full_mean,0.621730070857295,0.6458538313219658,0.024123760464670834,0.05702345289455536,0.07955472010444684,,,,3,0,3
