semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp4_N100_T100_r00001_truth1-0-2,4,100,100,1,"(1,0,2)",3,0,0,0,3,1,0.0016418274284472623,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00002_truth1-0-2,4,100,100,2,"(1,0,2)",3,0,0,0,3,0,0.0023296566785932504,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00000_truth1-1-1,4,100,100,0,"(1,1,1)",3,2,0,2,1,3,0.002691133385254396,0.0023445539035963667,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00001_truth1-1-1,4,100,100,1,"(1,1,1)",3,2,0,2,1,2,0.0032741300146421626,0.00290407291343297,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00002_truth1-1-1,4,100,100,2,"(1,1,1)",3,0,0,0,3,2,0.005620249329209459,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00000_truth2-1-1,4,100,100,0,"(2,1,1)",3,0,0,0,3,0,0.0015376169127371553,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00001_truth2-1-1,4,100,100,1,"(2,1,1)",3,0,0,0,3,0,0.002688649130647147,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00002_truth2-1-1,4,100,100,2,"(2,1,1)",3,0,0,0,3,0,0.003215955884234789,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00000_truth1-0-2,4,100,200,0,"(1,0,2)",3,0,0,0,3,0,0.0013291665614452164,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00001_truth1-0-2,4,100,200,1,"(1,0,2)",3,0,0,0,3,0,0.0003328716012320765,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00002_truth1-0-2,4,100,200,2,"(1,0,2)",3,0,0,0,3,0,0.0014971830850187273,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00000_truth1-1-1,4,100,200,0,"(1,1,1)",3,0,0,0,3,0,0.002478367396710146,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00001_truth1-1-1,4,100,200,1,"(1,1,1)",3,1,0,1,2,2,0.001586584172090566,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00002_truth1-1-1,4,100,200,2,"(1,1,1)",3,1,0,1,2,1,0.004993497233682476,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00000_truth2-1-1,4,100,200,0,"(2,1,1)",3,0,0,0,3,0,0.0014618661815072875,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T200_r00001_truth2-1-1,4,100,200,1,"(2,1,1)",3,0,0,0,3,0,0.000959890787083556,,False,False,rank_selection_numerically_unresolved
