dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,20,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,20,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,21,A_entry,,,missing_target_record,,,,,False
1,50,50,21,B_entry,,,missing_target_record,,,,,False
1,50,50,21,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,21,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,21,A_full_mean,,,missing_target_record,,,,,False
1,50,50,21,B_full_mean,,,missing_target_record,,,,,False
1,50,50,21,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,21,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,21,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,21,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,21,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,21,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,21,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,22,A_entry,,,missing_target_record,,,,,False
1,50,50,22,B_entry,,,missing_target_record,,,,,False
1,50,50,22,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,22,B_fixed_time_mean,,,missing_target_record,,,,,False
