semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp2_N50_T50_r00002_truth1-0-2,2,50,50,"(1,0,2)",2,0.1300175099637403,0.1364559383001837,0.12813943937788874,0.12813943937788874,0.1364559383001837,0.008316498922294968,0.008316498922294968,3,0,,,,,1e-06,False,False
dgp2_N50_T50_r00002_truth1-1-1,2,50,50,"(1,1,1)",2,0.4050117677849614,0.4168115096536484,0.4073899834946619,0.4050117677849614,0.4168115096536484,0.011799741868686986,0.011799741868686986,1,0,,,,,1e-06,False,False
dgp2_N50_T50_r00002_truth2-1-1,2,50,50,"(2,1,1)",2,0.09404997537718728,0.08841751445440985,0.09018290728593137,0.08841751445440985,0.09404997537718728,0.00563246092277743,0.00563246092277743,2,0,,,,,1e-06,False,False
dgp3_N100_T100_r00000_truth1-0-2,3,100,100,"(1,0,2)",0,0.2935778819093665,0.2961413267298926,0.2938399847274581,0.2935778819093665,0.2961413267298926,0.002563444820526062,0.002563444820526062,1,0,,,,,1e-06,False,False
dgp3_N100_T100_r00000_truth1-1-1,3,100,100,"(1,1,1)",0,1.3215854714073285,1.3176551366809366,1.3130689879199198,1.3130689879199198,1.3215854714073285,0.008516483487408744,0.006485937575069847,3,0,,,,,1e-06,False,False
dgp3_N100_T100_r00000_truth2-1-1,3,100,100,"(2,1,1)",0,0.22023140917970369,0.22194034398529772,0.22284279044406038,0.22023140917970369,0.22284279044406038,0.002611381264356699,0.002611381264356699,1,1,0.22023140917970369,,0.22023140917970369,,1e-06,False,False
dgp3_N100_T100_r00001_truth1-0-2,3,100,100,"(1,0,2)",1,0.27837514349807707,0.27940006535555706,0.28004389926216927,0.27837514349807707,0.28004389926216927,0.0016687557640922002,0.0016687557640922002,1,1,0.28004389926216927,,0.28004389926216927,,1e-06,False,False
dgp3_N100_T100_r00001_truth1-1-1,3,100,100,"(1,1,1)",1,1.391274235989886,1.3886074761114622,1.3846609113449657,1.3846609113449657,1.391274235989886,0.00661332464492026,0.004776132980092956,3,2,1.3846609113449657,1.391274235989886,1.391274235989886,0.004776132980092956,1e-06,False,False
dgp3_N100_T100_r00001_truth2-1-1,3,100,100,"(2,1,1)",1,0.22056684079331276,0.22140694080331122,0.22086855257952967,0.22056684079331276,0.22140694080331122,0.0008401000099984568,0.0008401000099984568,1,1,0.22140694080331122,,0.22140694080331122,,1e-06,False,False
dgp3_N100_T100_r00002_truth1-0-2,3,100,100,"(1,0,2)",2,0.2919822479143108,0.29032482317129754,0.29041688463476856,0.29032482317129754,0.2919822479143108,0.0016574247430132805,0.0016574247430132805,2,0,,,,,1e-06,False,False
dgp3_N100_T100_r00002_truth1-1-1,3,100,100,"(1,1,1)",2,1.3706981896155166,1.3776384310578487,1.3716249983189366,1.3706981896155166,1.3776384310578487,0.0069402414423320735,0.005063289274700818,1,1,1.3716249983189366,,1.3716249983189366,,1e-06,False,False
dgp3_N100_T100_r00002_truth2-1-1,3,100,100,"(2,1,1)",2,0.2256366785686489,0.22488099443942183,0.22543977068481336,0.22488099443942183,0.2256366785686489,0.00075568412922708,0.00075568412922708,2,0,,,,,1e-06,False,False
dgp3_N100_T200_r00000_truth1-0-2,3,100,200,"(1,0,2)",0,0.30068158590988536,0.30033982753015376,0.30054793261703716,0.30033982753015376,0.30068158590988536,0.00034175837973160483,0.00034175837973160483,2,1,0.30054793261703716,,0.30054793261703716,,1e-06,False,False
